"","Ingles","Espanol"
"6297","misses","pierde"
"6298","interfere","interferir"
"6299","conviction","convencimiento"
"6300","receipt","recibo"
"6301","students","alumnos"
"6302","antelaciã","antelaciã"
"6303","denominate","denomina"
"6304","annan","annan"
"6305","outbreak","brote"
"6306","candidacy","candidatura"
"6307","audiovisual","audiovisuales"
"6308","modulation","modulaciã"
"6309","curly","crespo"
"6310","translates","traduce"
"6311","perfect","perfecta"
"6312","fear","temer"
"6313","admissible","admisible"
"6314","expand","ampliarse"
"6315","be guaranteed","garantizarse"
"6316","enjoys","goza"
"6317","imply","implique"
"6318","eta","eta"
"6319","categor","categã"
"6320","tariff","arancelarias"
"6321","care","cuidados"
"6322","clarify","clarificar"
"6323","bangladesh","bangladesh"
"6324","costs","costos"
"6325","chocolate","chocolate"
"6326","North American","norteamericana"
"6327","interlocutor","interlocutor"
"6328","to praise","elogiar"
"6329","they mention","mencionan"
"6330","twenty seven","veintisiete"
"6331","studied","estudiado"
"6332","link","enlace"
"6333","extremism","extremismo"
"6334","duplicaciã","duplicaciã"
"6335","try","intente"
"6336","scandalous","escandaloso"
"6337","extraction","extracciã"
"6338","reãºne","reãºne"
"6339","restrictive","restrictiva"
"6340","congratulations","felicitaciã"
"6341","integrated","integradas"
"6342","azores","azores"
"6343","remember","recordã"
"6344","spokesman","portavoz"
"6345","routed","encaminados"
"6346","permanently","permanentemente"
"6347","managements","gestiones"
"6348","Province","provincia"
"6349","benefit","beneficien"
"6350","delicate","delicados"
"6351","full","llena"
"6352","confirm","confirmã"
"6353","defendants","acusados"
"6354","fruit","fruta"
"6355","managers","encargados"
"6356","productive","productiva"
"6357","celebrated","celebrados"
"6358","will demand","exigirã"
"6359","Refirm","refiriã"
"6360","malmstrã","malmstrã"
"6361","appointed","designado"
"6362","colleges","colegios"
"6363","sharon","sharon"
"6364","voting","votando"
"6365","tends","tiende"
"6366","reflection","reflejo"
"6367","attentive","atentos"
"6368","will provide","aportarã"
"6369","indicator","indicador"
"6370","operational","operativas"
"6371","reduce","reduzcan"
"6372","unemployed","parados"
"6373","claims","reclama"
"6374","mouth","boca"
"6375","Christian","cristiana"
"6376","cheap","barato"
"6377","twenty five","veinticinco"
"6378","motivation","motivaciã"
"6379","prejudices","prejuicios"
"6380","work","funcionen"
"6381","reinforce","reforzarã"
"6382","unnecessary","innecesario"
"6383","defined","definidas"
"6384","they contribute","aportan"
"6385","adjusts","ajusta"
"6386","will inform","informarã"
"6387","invasion","invasiã"
"6388","fundamentalism","fundamentalismo"
"6389","combined","combinado"
"6390","productive","productivo"
"6391","internationally","internacionalmente"
"6392","David","david"
"6393","raise","plantee"
"6394","get prepared","prepararse"
"6395","balance","equilibrar"
"6396","it will work","funcionarã"
"6397","Aspire","aspirar"
"6398","globally","globalmente"
"6399","recognized","reconocidas"
"6400","overwhelming","contundente"
"6401","disabled","discapacitadas"
"6402","adjust","ajustar"
"6403","created","creados"
"6404","terrestrial","terrestres"
"6405","EuropeanLeft","europeaizquierda"
"6406","club","club"
"6407","elected","electos"
"6408","winning","ganando"
"6409","liberalize","liberalizar"
"6410","mixture","mezcla"
"6411","figure","figurar"
"6412","usual","habituales"
"6413","wogau","wogau"
"6414","regulate","regulan"
"6415","if you","situ"
"6416","we will be back","volveremos"
"6417","tourist","turã­stico"
"6418","pull apart","separar"
"6419","interconnected","interconexiã"
"6420","deny","niegan"
"6421","participated","participaron"
"6422","exporters","exportadores"
"6423","Employers","empleadores"
"6424","ppc","ppc"
"6425","conservative","conservador"
"6426","will finish","terminarã"
"6427","courses","cursos"
"6428","disappointed","decepcionado"
"6429","phones","fonos"
"6430","dismissed","despedidos"
"6431","authorizations","autorizaciones"
"6432","tuviã","tuviã"
"6433","taken out","sacado"
"6434","to worry","preocuparse"
"6435","comes out","sale"
"6436","could","pudieron"
"6437","belgrade","belgrado"
"6438","alcohol","alcohã"
"6439","bonino","bonino"
"6440","daphne","daphne"
"6441","compromised","comprometiã"
"6442","regulated","regulado"
"6443","he spoke","hablaba"
"6444","monetary","monetarias"
"6445","chains","cadenas"
"6446","dedicate","dedica"
"6447","food","alimentario"
"6448","maker","fabricante"
"6449","transnational","transnacionales"
"6450","together","juntas"
"6451","minority","minoritarias"
"6452","rigorous","rigurosas"
"6453","we passed","pasamos"
"6454","implement","implementar"
"6455","globalized","globalizado"
"6456","Sunday","domingo"
"6457","detect","detectar"
"6458","respond","responden"
"6459","refer","referir"
"6460","reconsider","reconsiderar"
"6461","diminished","disminuido"
"6462","look","mirada"
"6463","we could","podã­amos"
"6464","inadequate","inadecuada"
"6465","innovative","innovador"
"6466","they voted","votaron"
"6467","Iraq","irak"
"6468","medically","dicamente"
"6469","exceptionally","excepcionalmente"
"6470","I found","encontraba"
"6471","tangible","tangible"
"6472","play","reproducciã"
"6473","out","salga"
"6474","exerted","ejercida"
"6475","experiments","experimentos"
"6476","HIV AIDS","vihsida"
"6477","prestige","prestigio"
"6478","to hold","sostener"
"6479","enemy","enemigo"
"6480","Belgian","belgas"
"6481","literally","literalmente"
"6482","Vanguard","vanguardia"
"6483","contrary","contrarias"
"6484","iranães","iranã­es"
"6485","leakage","fuga"
"6486","mandelson","mandelson"
"6487","let's have","dispongamos"
"6488","collected","recogidos"
"6489","start","empiece"
"6490","elderly","ancianos"
"6491","should","debiã"
"6492","abolish","abolir"
"6493","pride","orgullo"
"6494","optics","ptica"
"6495","user","usuario"
"6496","barrier","barrera"
"6497","Polish","polaca"
"6498","Arts","artes"
"6499","bg","bg"
"6500","unnecessary","innecesarios"
"6501","increased","incrementado"
"6502","elaborã","elaborã"
"6503","dictates","dictã"
"6504","conversiã","conversiã"
"6505","come out","salen"
"6506","religious","religioso"
"6507","point","apuntan"
"6508","reinforce","refuerce"
"6509","formula","formulã"
"6510","help us","ayudarnos"
"6511","center","centre"
"6512","get","obtengan"
"6513","clean","limpias"
"6514","rules","rige"
"6515","railway","ferroviarios"
"6516","slowness","lentitud"
"6517","suspects","sospechosos"
"6518","background","antecedentes"
"6519","ambassador","embajador"
"6520","hold","sostiene"
"6521","associated","asociado"
"6522","xx","xx"
"6523","increases","aumentos"
"6524","happened","ocurridos"
"6525","experiencing","experimentando"
"6526","try","intentã"
"6527","continents","continentes"
"6528","chosen","elegida"
"6529","finish","finalice"
"6530","refugee","refugiado"
"6531","partial","parciales"
"6532","supported","apoyada"
"6533","dragged on","prolongado"
"6534","possessiã","posesiã"
"6535","simplified","simplificado"
"6536","liquidity","liquidez"
"6537","ism","ismo"
"6538","remove","retire"
"6539","employees","asalariados"
"6540","nes","nes"
"6541","shadow","sombra"
"6542","big","big"
"6543","arafat","arafat"
"6544","they improve","mejoran"
"6545","ignore","ignora"
"6546","exercising","ejerciendo"
"6547","Customs","aduaneras"
"6548","surplus","excedentes"
"6549","alzheimer","alzheimer"
"6550","intervene","intervenga"
"6551","senses","sentidos"
"6552","collapse","colapso"
"6553","ask","pedirã"
"6554","fourteen","catorce"
"6555","shared","compartidos"
"6556","moderation","moderaciã"
"6557","customs","aduana"
"6558","submit","somete"
"6559","confirm","confirmaciã"
"6560","praise","elogio"
"6561","emigration","emigraciã"
"6562","Albanians","albaneses"
"6563","illustrate","ilustra"
"6564","express","exprese"
"6565","negã","negã"
"6566","ozone","ozono"
"6567","europe","europaâ"
"6568","European","europeaâ"
"6569","interference","injerencia"
"6570","sixty","sesenta"
"6571","cotton","algodã"
"6572","Completed","completado"
"6573","morals","morales"
"6574","sabãa","sabã­a"
"6575","facilitation","facilitaciã"
"6576","boats","embarcaciones"
"6577","commit","cometen"
"6578","recognize","reconozcan"
"6579","will transmit","transmitirã"
"6580","ãsticas","ã­sticas"
"6581","applications","usos"
"6582","assumptions","supuestos"
"6583","responsible","encargada"
"6584","subject","sujeta"
"6585","school children","escolares"
"6586","incumbent","incumbe"
"6587","located","situado"
"6588","entirely","enteramente"
"6589","sympathy","simpatã­a"
"6590","solidary","solidaria"
"6591","remember","recuerde"
"6592","I should","debiera"
"6593","visitors","visitantes"
"6594","refuge","refugio"
"6595","progressed","progresado"
"6596","papers","papeles"
"6597","false","falso"
"6598","enter","introduzca"
"6599","ogm","ogm"
"6600","obama","obama"
"6601","dedicated","dedicada"
"6602","random","azar"
"6603","they were","estuvieron"
"6604","look after","cuidar"
"6605","proportional","proporcional"
"6606","hormones","hormonas"
"6607","claim","reclamaciã"
"6608","quartet","cuarteto"
"6609","Agreed","acordadas"
"6610","unequal","desigual"
"6611","will contribute","contribuirã­a"
"6612","resignation","renuncia"
"6613","prevent","impida"
"6614","ally","aliado"
"6615","let's get there","lleguemos"
"6616","threatened","amenazados"
"6617","midday","mediodã­a"
"6618","ndolas","ndolas"
"6619","threatened","amenazadas"
"6620","collaborated","colaborado"
"6621","auspices","auspicios"
"6622","assure him","asegurarle"
"6623","threatened","amenazada"
"6624","standard","ndar"
"6625","begin","comience"
"6626","dose","dosis"
"6627","indigenous","indã­genas"
"6628","Signs","signos"
"6629","hostages","rehenes"
"6630","cox","cox"
"6631","verified","constatado"
"6632","sectorial","sectorial"
"6633","recoil","retroceso"
"6634","tragedies","tragedias"
"6635","indemnities","indemnizaciones"
"6636","respectively","respectivamente"
"6637","medina","medina"
"6638","back","espalda"
"6639","Cardiff","cardiff"
"6640","aircraft","aeronaves"
"6641","merkel","merkel"
"6642","falsified","falsificados"
"6643","bet","apuesta"
"6644","brevity","brevedad"
"6645","sincerity","sinceridad"
"6646","creasable","creã­bles"
"6647","negotiators","negociadores"
"6648","characterized","caracterizado"
"6649","customs","aduanero"
"6650","generalized","generalizadas"
"6651","complementary","complementarios"
"6652","incineration","incineraciã"
"6653","winter","invierno"
"6654","hiv","vih"
"6655","digital","digitales"
"6656","provider","proveedor"
"6657","formula","formula"
"6658","debatirã","debatirã"
"6659","they fear","temen"
"6660","architecture","configuraciã"
"6661","excessive","excesivos"
"6662","lites","lites"
"6663","basin","cuenca"
"6664","adjudicaciã","adjudicaciã"
"6665","dicas","dicas"
"6666","the MA","lama"
"6667","emigrants","emigrantes"
"6668","brave","valientes"
"6669","wounds","heridas"
"6670","dices","dados"
"6671","summarize","resumir"
"6672","indisputable","indiscutible"
"6673","determines","determina"
"6674","go through","atraviesa"
"6675","introduced","introdujo"
"6676","sports","deportivos"
"6677","ini","ini"
"6678","self-regulation","autorregulaciã"
"6679","causing","causando"
"6680","periods","periodos"
"6681","calculate","calcular"
"6682","lakes","lagos"
"6683","inadequate","inadecuado"
"6684","rare","raras"
"6685","eighty","ochenta"
"6686","importers","importadores"
"6687","subsequent","ulterior"
"6688","synergy","sinergia"
"6689","driver","conductor"
"6690","loan","stamo"
"6691","nice","agradable"
"6692","byrne","byrne"
"6693","deliver","entregar"
"6694","mean","significarã"
"6695","and","and"
"6696","supplementary","suplementario"
"6697","subject","sujetas"
"6698","preliminary","preliminar"
"6699","Kurdish","kurdo"
"6700","burundi","burundi"
"6701","apparatus","aparato"
"6702","were going","iban"
"6703","famous","famoso"
"6704","directors","directores"
"6705","aptitudes","aptitudes"
"6706","clashes","enfrentamientos"
"6707","unilateral","unilaterales"
"6708","biofuels","biocombustibles"
"6709","evans","evans"
"6710","typically","sticamente"
"6711","represented","representada"
"6712","we put","ponemos"
"6713","union","sindicales"
"6714","traditionally","tradicionalmente"
"6715","crowd","multitud"
"6716","sacrifices","sacrificios"
"6717","redundant","redunda"
"6718","rothley","rothley"
"6719","I reiterate","reitero"
"6720","let","dejarse"
"6721","machinery","maquinaria"
"6722","founders","fundadores"
"6723","interim","interino"
"6724","avoided","evitado"
"6725","limit us","limitarnos"
"6726","we call","llamamos"
"6727","they understand","entienden"
"6728","cruel","cruel"
"6729","pick up","recogen"
"6730","luxury","lujo"
"6731","to practice","practicar"
"6732","celebren","celebren"
"6733","Romanians","rumanos"
"6734","solve","resolverã"
"6735","Mauritania","mauritania"
"6736","concerning","concerniente"
"6737","threaten","amenazan"
"6738","specify","concretar"
"6739","reconversiã","reconversiã"
"6740","ninety","noventa"
"6741","instauraciã","instauraciã"
